"id","name"
"3","Аграрная партия"
"17","Альянс зеленых и социал-демократов (ранее: Альянс зелёных - народная партия)"
"25","Вне фракций"
"22","Гражданская Позиция"
"4","Гражданская сила"
"5","Демократическая партия России (Демократическая Россия)"
"1","Единая Россия"
"13","За женщин России"
"15","Зеленые"
"19","Казачья партия Российской Федерации"
"21","Коммунистическая партия социальной справедливости"
"18","Коммунисты России"
"6","КПРФ"
"2","ЛДПР"
"12","Партия Национальной безопасности России"
"14","Партия Пенсионеров России"
"24","Партия Роста"
"10","Партия Социальной Справедливости"
"7","Патриоты России"
"23","Правое дело"
"16","Родина"
"20","Социал-демократическая партия России"
"8","Справедливая Россия"
"11","СПС"
"9","Яблоко"
