region_id,region,year,a_income,a_squares,a_squares2,a_cor,b_income,b_squares
24,Алтайский край,2015,361912,558.7,104852756.7,0.0736,20985.0,23.1
33,Амурская область,2015,125902,380.1,4199.5,0.1499,30197.0,24.3
37,Архангельская область,2015,156076,867.8,23969.3,0.372,32585.0,26.6
38,Астраханская область,2015,317701,547.5,38495.0,0.5625,24057.0,22.8
35,Брянская область,2015,155506,317.8,2569.4,0.5369,25362.0,28.1
36,Владимирская область,2015,719447,1376.5,2728114.8,0.7594,23729.0,27.2
41,Волгоградская область,2015,317246,594.0,1025.8,0.5535,21719.0,23.3
42,Вологодская область,2015,103372,5372.9,737.5,-0.0628,25582.0,28.5
43,Воронежская область,2015,164156,498.2,442567.5,0.068,29922.0,28.3
44,Забайкальский край,2015,205598,558.3,258271.1,0.1412,22980.0,20.4
45,Иркутская область,2015,4540129,2775.6,2845723.1,0.3652,22445.0,23.1
9,Кабардино-Балкарская Республика,2015,1419126,2091.7,55376.0,0.0126,19102.0,18.9
46,Калининградская область,2015,90092,324.8,3305.0,0.4858,25875.0,26.7
48,Камчатский край,2015,156080,462.2,1952.8,0.1103,41029.0,25.2
11,Карачаево-Черкесская республика,2015,544288,1084.5,2469.5,0.4303,17268.0,20.6
50,Кемеровская область,2015,147995,352.5,4283.5,0.2941,21827.0,23.7
51,Кировская область,2015,277708,345.2,1050.0,0.1332,22149.0,25.0
53,Костромская область,2015,165038,363.8,3196.2,0.2993,22442.0,26.6
27,Краснодарский край,2015,266502,438.8,1051.7,0.6701,31375.0,24.4
28,Красноярский край,2015,259838,397.7,1374.0,0.1327,27102.0,23.9
55,Курская область,2015,118629,324.8,5645.6,0.1186,25801.0,28.7
56,Ленинградская область,2015,132012,552.1,2138.7,0.3547,24747.0,25.7
57,Липецкая область,2015,102270,480.6,4617.0,0.3203,27665.0,28.4
58,Магаданская область,2015,111894,357.1,2071.3,0.053,50173.0,29.7
63,Москва,2015,139996,545.7,790548.4,0.2076,59850.0,19.1
64,Московская область,2015,148727,407.2,4560.7,0.1056,37702.0,33.4
65,Мурманская область,2015,303514,275.2,919.8,0.0025,36848.0,25.1
66,Нижегородская область,2015,145130,454.7,23140.8,0.2265,30839.0,26.1
67,Новгородская область,2015,130985,872.1,2763.5,0.2008,25773.0,29.9
68,Новосибирская область,2015,216166,418.6,54286.6,0.1812,24176.0,23.7
69,Омская область,2015,169926,414.7,4792808.2,-0.0365,25839.0,23.6
70,Орловская область,2015,139333,583.8,5348.3,0.206,22829.0,27.0
72,Пензенская область,2015,176577,479.8,2494.6,0.4849,21819.0,27.3
29,Пермский край,2015,215595,457.0,967.1,-0.0326,32043.0,23.0
74,Приморский край,2015,395053,643.1,30106.0,0.154,32983.0,22.4
75,Псковская область,2015,169590,1097.5,308229.5,0.2456,21710.0,29.4
3,Республика Адыгея,2015,175724,314.5,2141.7,0.1475,22646.0,25.8
6,Республика Алтай,2015,117966,2572.0,4019.9,-0.0929,18254.0,19.8
4,Республика Башкортостан,2015,124515,320.7,2588.6,0.1482,27730.0,24.2
5,Республика Бурятия,2015,325261,419.8,634.6,0.1576,25480.0,21.4
59,Республика Дагестан,2015,190646,472.1,1753.4,0.5373,26738.0,18.2
8,Республика Ингушетия,2015,130725,412.7,31814.7,-0.1071,14713.0,14.1
47,Республика Калмыкия,2015,129311,346.9,4562.3,0.5655,14230.0,24.0
12,Республика Карелия,2015,146372,336.3,1429.1,0.3033,25717.0,25.8
13,Республика Коми,2015,114191,282.6,946.2,0.0778,32545.0,26.7
61,Республика Марий Эл,2015,149664,470.1,7769540.3,-0.0331,18513.0,24.7
62,Республика Мордовия,2015,176015,575.2,25427.9,0.0838,17855.0,26.4
17,Республика Северная Осетия — Алания,2015,128796,336.6,1333.3,0.0782,22003.0,27.6
18,Республика Татарстан,2015,396996,1507.9,187216.6,0.4619,32155.0,25.2
21,Республика Хакасия,2015,89748,632.5,3751.5,-0.1192,20789.0,22.7
76,Ростовская область,2015,148990,368.9,1397.6,0.2933,26558.0,23.6
77,Самарская область,2015,98677,255.1,16296.6,0.1083,27739.0,25.0
1,Санкт-Петербург,2015,80423,488.2,10618.0,0.6154,39935.0,23.6
79,Саратовская область,2015,190057,269.6,772.2,0.4199,20075.0,27.8
82,Тамбовская область,2015,86274,216.6,2726.7,0.6905,25089.0,26.9
86,Тюменская область,2015,672873,863.7,4504.1,0.4216,41594.0,22.9
32,Хабаровский край,2015,186924,302.9,414429.0,0.5429,36621.0,23.1
89,Челябинская область,2015,1354747,1064.9,1796.4,0.2976,24578.0,25.0
95,Чукотский автономный округ,2015,113632,530.5,873.8,0.1622,61640.0,25.5
